Protein A,Protein B,GO similarity under BP term,GO similarity under MF term,GO similarity under CC term,Combined Score
YEL051W,YMR106C,0.093,0.207,0.525,
YEL051W,YNL250W,0.19,0.022,0.412,157.0
YEL051W,YOR270C,0.057,1.0,0.582,999.0
YEL051W,YOR332W,1.0,1.0,0.167,999.0
YEL051W,YPR036W,0.057,1.0,0.674,999.0
YEL053C,YPR051W,1.0,1.0,0.506,999.0
YEL054C,YLR347C,0.038,0.129,0.343,252.0
YEL054C,YOL039W,0.946,1.0,0.637,993.0
YEL055C,YER082C,0.422,0.477,1.0,915.0
YEL055C,YER100W,0.226,0.066,0.424,163.0
YEL055C,YGL237C,0.683,0.262,0.56,163.0
YEL055C,YJL095W,0.04,0.066,0.167,204.0
YEL055C,YLL019C,0.171,0.532,0.611,299.0
YEL055C,YLR196W,0.474,0.477,1.0,863.0
YEL055C,YPL141C,0.261,1.0,0.331,314.0
YEL056W,YHR183W,0.06,0.25,0.506,180.0
YEL056W,YJL052W,0.1,0.131,0.506,
YEL056W,YJR077C,0.178,0.06,0.74,
YEL056W,YJR121W,0.03,0.046,0.101,379.0
YEL056W,YLL022C,0.053,0.087,1.0,999.0
YEL056W,YMR108W,0.075,0.268,0.74,
YEL056W,YNL030W,0.331,0.065,0.435,989.0
YEL056W,YOR136W,0.136,0.058,0.74,164.0
YEL056W,YOR374W,0.069,0.131,0.74,159.0
YEL056W,YPL001W,0.368,0.503,0.506,999.0
YEL056W,YPL061W,0.113,0.131,0.74,
YEL057C,YKL002W,0.148,1.0,0.314,161.0
YEL058W,YNL218W,0.329,0.247,0.506,649.0
YEL059W,YJR130C,0.0,0.0,0.0,163.0
YEL060C,YGL137W,0.065,0.1,0.673,
YEL060C,YIL128W,0.203,0.243,0.507,
YEL060C,YJL124C,0.246,0.093,0.507,234.0
YEL060C,YMR104C,0.098,0.043,0.6,293.0
YEL060C,YNL161W,0.074,0.267,0.268,
YEL060C,YOL133W,0.061,0.267,0.507,249.0
YEL060C,YPL140C,0.068,0.094,0.507,
YEL061C,YER082C,0.078,0.1,0.49,401.0
YEL061C,YLR453C,0.179,0.191,0.511,
YEL061C,YLR454W,0.071,0.1,1.0,239.0
YEL061C,YMR124W,0.309,0.1,0.599,268.0
YEL061C,YOL069W,0.266,0.066,0.352,925.0
YEL062W,YKL048C,0.073,0.226,0.06,358.0
YEL062W,YLR096W,0.195,0.383,0.276,165.0
YEL062W,YNL307C,0.151,0.477,0.383,425.0
YEL062W,YOR138C,0.072,0.477,0.109,307.0
YEL062W,YPL255W,0.038,0.643,0.067,163.0
YEL063C,YFL041W,0.36,0.046,0.522,151.0
YEL063C,YGL051W,0.427,0.149,0.08,
YEL063C,YGR014W,0.068,0.057,0.243,
YEL063C,YGR057C,0.291,0.149,0.183,213.0
YEL063C,YGR284C,0.31,0.059,0.522,
YEL063C,YHL042W,0.148,0.149,0.329,
YEL063C,YHR133C,0.058,0.074,0.08,
YEL063C,YHR140W,0.148,0.149,0.547,
YEL063C,YHR142W,0.043,0.074,0.522,187.0
YEL063C,YIL016W,0.043,0.074,0.102,169.0
YEL063C,YIL114C,0.394,0.353,0.125,155.0
YEL063C,YIL140W,0.07,0.149,0.065,158.0
YEL063C,YJL002C,0.063,0.046,0.283,
YEL063C,YJL091C,0.036,0.091,0.08,
YEL063C,YJL117W,0.427,0.074,0.547,
YEL063C,YJL196C,0.056,0.046,0.547,167.0
YEL063C,YJR010C-A,0.056,0.149,0.522,
YEL063C,YJR117W,0.036,0.091,0.247,195.0
YEL063C,YKL065C,0.427,0.149,0.08,
YEL063C,YKL154W,0.274,0.074,0.247,
YEL063C,YLR343W,0.057,0.062,0.328,
YEL063C,YLR372W,0.061,0.091,0.522,175.0
YEL063C,YML048W,0.108,0.074,0.247,
YEL063C,YMR264W,0.027,0.062,0.086,
YEL063C,YMR292W,0.31,0.149,0.161,
YEL063C,YNL125C,0.427,0.683,0.086,183.0
YEL063C,YOL132W,0.057,0.062,0.121,
YEL063C,YOR016C,0.427,0.149,0.325,
YEL063C,YOR161C,0.148,0.149,0.314,
YEL063C,YOR254C,0.225,0.283,0.102,324.0
YEL063C,YOR345C,0.0,0.0,0.0,163.0
YEL063C,YPL076W,0.036,0.091,0.522,
YEL063C,YPL139C,0.028,0.062,0.102,179.0
YEL063C,YPL227C,0.074,0.042,0.08,
YEL063C,YPL234C,0.427,0.457,0.086,156.0
YEL064C,YIR034C,0.052,0.235,0.434,170.0
YEL064C,YNR058W,0.031,0.283,0.434,163.0
YEL064C,YOR242C,0.033,1.0,0.139,203.0
YEL066W,YHR041C,0.144,0.1,0.294,
YEL066W,YLR347C,0.044,0.053,0.289,
YEL066W,YML064C,0.319,0.079,0.373,
YEL066W,YNL189W,0.061,0.1,0.506,
YEL066W,YPL070W,0.047,0.162,1.0,366.0
YEL066W,YPL112C,0.143,0.219,0.234,178.0
YEL068C,YJR091C,0.097,0.235,0.105,
YEL068C,YKL002W,0.148,1.0,0.314,319.0
YEL068C,YLR225C,1.0,1.0,0.314,163.0
YEL069C,YGL249W,0.106,0.154,0.136,174.0
YEL069C,YPR110C,0.106,0.163,0.089,163.0
YEL070W,YJR091C,0.17,0.133,0.105,
YEL070W,YNR058W,0.097,0.355,0.314,172.0
YEL071W,YKL103C,0.138,0.07,0.599,165.0
YEL071W,YLR383W,0.148,0.157,0.379,170.0
YEL072W,YOR273C,0.093,0.283,0.643,163.0
YEL074W,YKL002W,0.0,0.0,0.0,161.0
YEL075C,YJR091C,0.097,0.235,0.105,
YEL077C,YFR053C,0.351,0.038,0.255,163.0
YER002W,YGL237C,0.028,0.477,0.448,193.0
YER002W,YMR049C,0.378,0.477,0.319,999.0
YER002W,YPR016C,0.056,0.383,0.472,997.0
YER004W,YER009W,0.082,0.234,0.521,631.0
YER004W,YGR218W,0.104,0.383,0.099,537.0
YER005W,YGL212W,0.191,0.079,0.141,180.0
YER005W,YGR284C,0.095,0.084,1.0,219.0
YER005W,YJL004C,0.065,0.255,0.159,329.0
YER005W,YLR214W,0.355,0.174,1.0,150.0
YER005W,YNL044W,0.095,0.255,0.092,277.0
YER005W,YPL264C,0.147,0.255,1.0,502.0
YER006W,YER126C,0.168,0.235,0.248,999.0
YER006W,YER133W,0.113,0.133,0.636,220.0
YER006W,YGL081W,0.104,0.235,0.124,
YER006W,YGR103W,0.155,0.298,0.248,999.0
YER006W,YGR220C,0.028,0.133,0.49,861.0
YER006W,YGR245C,1.0,0.235,0.611,999.0
YER006W,YHR197W,0.958,0.298,0.817,998.0
YER006W,YIL018W,0.028,0.133,0.495,884.0
YER006W,YIL035C,0.026,0.059,0.301,222.0
YER006W,YJR110W,0.024,0.055,0.331,299.0
YER006W,YKR081C,0.149,0.673,0.248,999.0
YER006W,YLR074C,1.0,0.142,0.471,999.0
YER006W,YMR049C,0.168,0.298,1.0,999.0
YER006W,YNL061W,0.168,0.049,0.248,999.0
YER006W,YNL110C,0.113,0.409,0.248,999.0
YER006W,YNL284C,0.028,0.133,0.522,838.0
YER006W,YOR267C,0.07,0.059,0.331,420.0
YER006W,YPL043W,0.168,0.785,0.611,986.0
YER006W,YPL204W,0.105,0.059,0.545,195.0
YER006W,YPR161C,0.026,0.048,0.611,453.0
YER007C-A,YJR014W,0.945,0.785,0.533,999.0
YER007C-A,YKL028W,0.461,0.659,0.198,615.0
YER007W,YHR027C,0.532,0.205,0.506,436.0
YER007W,YJL120W,0.0,0.0,0.0,173.0
YER007W,YML085C,0.092,0.068,1.0,795.0
YER007W,YOL082W,0.092,0.43,0.234,161.0
YER007W,YOR349W,1.0,0.729,0.314,999.0
YER008C,YER114C,0.338,0.175,0.497,516.0
YER008C,YLR191W,0.364,0.321,0.149,229.0
YER008C,YLR229C,0.15,0.044,0.195,996.0
YER008C,YMR304W,0.063,0.093,0.401,449.0
YER008C,YPR165W,0.084,0.044,0.251,999.0
YER009W,YGL092W,0.236,0.171,0.777,871.0
YER009W,YIL063C,0.38,0.234,0.081,885.0
YER009W,YJL041W,0.216,0.19,0.081,955.0
YER009W,YLR293C,0.471,0.074,0.371,994.0
YER009W,YLR335W,0.042,0.129,0.521,870.0
YER009W,YLR347C,0.471,1.0,0.777,877.0
YER009W,YMR059W,0.024,0.038,0.109,201.0
YER009W,YNL189W,1.0,0.101,0.657,846.0
YER009W,YOR098C,0.04,0.129,0.109,876.0
YER009W,YOR185C,0.25,0.074,0.657,943.0
YER010C,YNL189W,0.044,0.126,0.218,
YER010C,YOR274W,0.145,0.083,0.173,163.0
YER011W,YKL002W,0.093,0.477,0.403,
YER011W,YLR347C,0.113,0.129,0.157,686.0
YER011W,YPL178W,0.067,0.146,0.215,299.0
YER012W,YER021W,0.768,0.219,0.55,999.0
YER012W,YER094C,0.899,0.07,0.506,999.0
YER012W,YFR004W,0.097,0.442,0.506,999.0
YER012W,YFR050C,0.899,0.787,0.582,999.0
YER012W,YFR052W,0.768,0.219,0.547,999.0
YER012W,YGL011C,0.541,1.0,1.0,999.0
YER012W,YGL048C,0.166,0.1,1.0,999.0
YER012W,YGR135W,0.028,0.219,0.506,999.0
YER012W,YGR253C,0.541,0.219,0.561,999.0
YER012W,YHR027C,0.768,0.162,0.506,999.0
YER012W,YHR033W,0.2,0.219,1.0,
YER012W,YHR200W,0.768,0.07,0.621,999.0
YER012W,YIL075C,0.768,0.162,0.506,999.0
YER012W,YJL001W,1.0,0.579,0.506,999.0
YER012W,YJL008C,0.551,0.035,1.0,311.0
YER012W,YKL145W,0.106,0.035,1.0,999.0
YER012W,YKL152C,0.285,0.365,0.426,
YER012W,YKL206C,0.03,0.219,1.0,991.0
YER012W,YLR180W,0.109,0.079,1.0,
YER012W,YLR199C,0.03,0.219,1.0,942.0
YER012W,YLR259C,0.49,0.1,0.599,168.0
YER012W,YLR421C,0.768,0.083,0.506,986.0
YER012W,YML092C,0.768,0.219,0.561,999.0
YER012W,YMR106C,0.1,0.478,0.398,163.0
YER012W,YMR314W,0.768,0.219,0.582,999.0
YER012W,YOL038W,0.768,0.787,0.582,999.0
YER012W,YOR117W,0.768,0.478,0.621,999.0
YER012W,YOR261C,0.768,0.219,0.55,999.0
YER012W,YOR362C,1.0,0.579,0.355,999.0
YER012W,YPR103W,0.899,0.787,0.582,999.0
YER012W,YPR108W,0.768,0.162,0.506,999.0
YER013W,YLR116W,0.57,0.163,0.602,714.0
YER013W,YLR117C,0.825,0.59,1.0,999.0
YER013W,YMR213W,0.57,1.0,0.171,999.0
YER015W,YJL095W,0.234,0.08,0.224,188.0
YER016W,YFR050C,0.137,0.158,0.317,462.0
YER016W,YGL061C,0.163,0.133,0.318,824.0
YER016W,YML085C,0.409,0.129,0.373,995.0
YER017C,YER091C,0.163,0.035,0.529,
YER017C,YFL018C,0.197,0.039,0.136,329.0
YER017C,YGL253W,0.337,1.0,0.136,152.0
YER017C,YGR155W,0.163,0.041,0.234,238.0
YER017C,YJL034W,0.056,1.0,0.125,197.0
YER017C,YJR045C,0.034,0.477,0.136,572.0
YER017C,YKL035W,0.205,0.033,0.529,
YER017C,YKR066C,0.073,0.05,0.105,684.0
YER017C,YLR044C,0.157,0.08,0.166,
YER017C,YLR259C,0.551,0.124,0.136,486.0
YER017C,YMR089C,1.0,0.033,0.234,999.0
YER017C,YMR186W,0.592,0.124,0.136,467.0
YER018C,YGL086W,0.127,0.477,0.386,256.0
YER018C,YKR054C,0.314,0.119,0.327,379.0
YER018C,YMR117C,0.451,1.0,0.431,999.0
YER019C-A,YJR091C,0.017,0.133,0.584,
YER019W,YER022W,0.146,0.181,0.395,
YER019W,YER104W,0.142,0.477,0.565,177.0
YER019W,YPR065W,0.148,0.091,0.704,163.0
YER020W,YFR053C,0.124,0.083,0.356,452.0
YER020W,YGL121C,1.0,0.154,0.308,819.0
YER020W,YGL245W,0.098,0.086,0.313,
YER020W,YHR005C,0.176,0.247,0.529,854.0
YER020W,YMR029C,0.528,0.251,0.425,176.0
YER020W,YNL037C,0.228,0.086,0.191,
YER020W,YNL071W,0.217,0.068,0.213,
YER020W,YNL124W,0.046,0.513,0.233,161.0
YER020W,YOL055C,0.207,0.11,0.356,
YER020W,YOR371C,0.093,0.289,1.0,965.0
YER020W,YPL036W,0.127,1.0,0.327,234.0
YER020W,YPL258C,0.138,0.154,0.308,
YER021W,YFR004W,0.098,0.21,0.395,999.0
YER021W,YFR010W,0.366,0.283,0.921,999.0
YER021W,YFR052W,1.0,1.0,0.583,999.0
YER021W,YGL004C,0.024,1.0,0.55,947.0
YER021W,YGR232W,0.024,1.0,0.395,997.0
YER021W,YHR027C,1.0,0.643,0.395,999.0
YER021W,YHR200W,1.0,0.283,0.832,999.0
YER021W,YKL145W,0.106,0.1,0.55,999.0
YER021W,YPR108W,1.0,0.643,0.395,999.0
YER021W,YPR110C,0.049,0.282,0.361,179.0
YER022W,YFR037C,0.286,0.25,0.509,350.0
YER022W,YFR038W,0.353,0.082,0.509,
YER022W,YGL027C,0.123,0.234,0.077,378.0
YER022W,YGL127C,0.716,0.109,0.509,999.0
YER022W,YGL129C,0.326,0.106,0.41,
YER022W,YGR090W,0.338,0.25,0.289,187.0
YER022W,YGR104C,0.664,0.146,0.509,999.0
YER022W,YGR218W,0.02,0.146,0.077,
YER022W,YGR243W,0.02,0.068,0.098,
YER022W,YHL005C,0.0,0.0,0.0,
YER022W,YHL044W,0.062,0.323,0.187,
YER022W,YHL045W,0.0,0.0,0.0,
YER022W,YHR041C,0.764,0.146,1.0,999.0
YER022W,YHR058C,1.0,0.109,0.798,999.0
YER022W,YHR116W,0.043,0.323,0.294,
YER022W,YHR152W,0.062,0.323,0.509,
YER022W,YHR200W,0.166,0.399,0.44,
YER022W,YIL022W,0.034,0.247,0.41,
YER022W,YIL078W,0.414,0.105,0.41,
YER022W,YIL141W,0.0,0.0,0.0,
YER022W,YIR038C,0.202,0.117,0.395,
YER022W,YJL142C,0.0,0.0,0.0,
YER022W,YJR094C,1.0,0.181,0.509,363.0
YER022W,YJR126C,0.034,0.092,0.121,
YER022W,YJR148W,0.213,0.122,0.509,
YER022W,YKL051W,0.158,0.323,0.187,331.0
YER022W,YKL063C,0.062,0.323,0.395,188.0
YER022W,YKL141W,0.024,0.234,0.394,
YER022W,YKL143W,0.034,0.323,0.289,
YER022W,YKR093W,0.025,0.146,0.098,
YER022W,YLL020C,0.0,0.0,0.0,
YER022W,YLL065W,0.0,0.0,0.0,
YER022W,YLR175W,0.338,0.122,0.373,
YER022W,YLR288C,0.059,0.25,0.509,
YER022W,YLR331C,0.0,0.0,0.0,
YER022W,YLR453C,0.366,0.196,0.311,427.0
YER022W,YML007W,0.025,0.219,0.294,
YER022W,YML022W,0.24,0.105,0.294,
YER022W,YML055W,0.281,0.146,0.484,
YER022W,YML082W,0.237,0.181,0.294,
YER022W,YMR039C,0.772,0.25,0.509,184.0
YER022W,YMR042W,0.813,0.122,0.509,
YER022W,YMR043W,0.72,0.196,0.509,
YER022W,YMR058W,0.037,0.068,0.187,
YER022W,YMR087W,0.314,0.105,0.121,
YER022W,YMR112C,0.958,0.081,0.509,999.0
YER022W,YMR114C,0.062,0.323,0.294,
YER022W,YMR118C,0.062,0.274,0.354,
YER022W,YMR139W,0.118,0.106,0.294,
YER022W,YMR181C,0.062,0.323,0.121,
YER022W,YMR244W,0.062,0.323,0.077,
YER022W,YMR293C,0.069,0.105,0.41,
YER022W,YNL006W,0.045,0.1,0.387,
YER022W,YNL073W,0.402,0.291,0.41,
YER022W,YNL084C,0.042,0.494,0.299,
YER022W,YNL159C,0.149,0.323,0.098,
YER022W,YNL210W,0.062,0.196,0.509,
YER022W,YNL211C,0.062,0.323,0.41,
YER022W,YNL235C,0.0,0.0,0.0,
YER022W,YNL281W,0.23,0.119,0.294,
YER022W,YNL282W,0.292,0.092,0.541,
YER022W,YNL288W,1.0,0.323,0.425,
YER022W,YNL301C,0.414,0.181,0.348,
YER022W,YNR001C,0.148,0.092,0.502,
YER022W,YNR012W,0.239,0.082,0.294,190.0
YER022W,YNR024W,0.25,0.25,0.509,502.0
YER022W,YNR052C,0.28,0.061,0.294,265.0
YER022W,YNR071C,0.062,0.323,0.121,
YER022W,YOL022C,0.308,0.323,0.294,
YER022W,YOL042W,0.062,0.181,0.41,
YER022W,YOL051W,0.716,0.109,0.509,998.0
YER022W,YOL106W,0.0,0.0,0.0,
YER022W,YOL135C,0.716,0.109,0.509,999.0
YER022W,YOR028C,0.716,0.25,0.294,
YER022W,YOR039W,0.909,0.146,0.612,
YER022W,YOR072W,0.0,0.0,0.0,
YER022W,YOR119C,0.072,0.247,0.294,299.0
YER022W,YOR136W,0.148,0.235,0.41,
YER022W,YOR143C,0.354,0.105,0.294,
YER022W,YOR187W,0.414,0.082,0.41,
YER022W,YOR197W,0.051,0.181,0.246,
YER022W,YOR303W,0.175,0.247,0.418,
YER022W,YOR334W,0.018,0.066,0.354,
YER022W,YOR336W,0.278,0.079,0.496,
YER022W,YOR388C,0.075,0.105,0.294,
YER022W,YPL011C,0.52,0.105,0.836,
YER022W,YPL042C,0.189,0.274,0.798,997.0
YER022W,YPL053C,0.107,0.105,0.098,
YER022W,YPL098C,0.028,0.323,0.426,363.0
YER022W,YPL248C,0.671,0.099,0.509,888.0
YER023W,YGL137W,0.053,0.105,0.565,721.0
YER023W,YLR291C,0.251,0.205,0.672,301.0
YER023W,YLR347C,0.027,0.068,0.289,
YER023W,YML064C,0.186,0.096,0.373,
YER023W,YNL189W,0.044,0.126,0.506,
YER023W,YPL070W,0.028,0.205,1.0,346.0
YER023W,YPL169C,0.037,0.073,0.289,161.0
YER025W,YER043C,0.235,0.041,0.629,424.0
YER025W,YER091C,0.214,0.035,0.293,235.0
YER025W,YER133W,0.125,0.066,0.211,774.0
YER025W,YER146W,0.342,0.243,0.332,623.0
YER025W,YGR052W,0.343,0.039,0.496,184.0
YER025W,YGR254W,0.12,0.041,0.629,154.0
YER025W,YJR007W,0.69,0.191,0.765,999.0
YER025W,YKL095W,0.636,0.066,0.332,200.0
YER025W,YKR026C,0.448,0.08,0.645,999.0
YER025W,YLR044C,0.14,0.08,0.332,200.0
YER025W,YLR215C,0.911,0.1,0.629,987.0
YER025W,YLR291C,0.332,0.08,0.645,999.0
YER025W,YML064C,0.125,0.477,0.249,
YER025W,YMR117C,0.153,0.066,0.211,310.0
YER025W,YNL312W,0.241,0.191,0.278,
YER025W,YOL142W,0.189,0.139,0.526,185.0
YER025W,YOR119C,0.125,0.477,0.629,204.0
YER025W,YOR212W,0.054,0.066,0.386,165.0
YER025W,YOR260W,0.0,0.08,0.526,999.0
YER025W,YPR110C,0.264,0.243,0.246,361.0
YER026C,YGR060W,0.238,0.318,0.092,421.0
YER026C,YHL042W,0.056,0.255,0.16,
YER026C,YHR140W,0.056,0.255,0.125,151.0
YER026C,YJR010C-A,0.137,0.255,0.092,
YER026C,YLR214W,0.149,0.174,0.092,
YER026C,YLR292C,0.033,0.112,0.64,
YER026C,YMR058W,0.08,0.046,0.257,178.0
YER026C,YMR153W,0.036,0.141,0.449,167.0
YER026C,YMR215W,0.065,0.538,0.092,
YER026C,YNL101W,0.033,0.043,0.824,
YER026C,YPL076W,0.557,0.538,0.092,
YER026C,YPL274W,0.033,0.053,1.0,176.0
YER027C,YGL115W,0.274,1.0,0.532,999.0
YER027C,YGL208W,0.596,1.0,0.425,998.0
YER027C,YJL089W,0.181,0.077,0.506,975.0
YER027C,YNL183C,0.292,0.804,1.0,428.0
YER027C,YOR276W,0.113,0.156,0.588,186.0
YER028C,YIL106W,0.256,0.115,0.307,437.0
YER028C,YJL124C,0.084,0.355,0.307,247.0
YER029C,YER112W,0.686,0.282,0.662,999.0
YER029C,YER172C,0.839,0.477,1.0,999.0
YER029C,YFL017W-A,1.0,0.282,0.8,999.0
YER029C,YGL070C,0.565,0.255,0.662,
YER029C,YGR074W,0.839,0.282,0.8,999.0
YER029C,YGR091W,0.79,0.282,0.522,998.0
YER029C,YHR086W,0.57,0.235,0.402,999.0
YER029C,YHR165C,0.578,0.235,0.8,999.0
YER029C,YJR022W,0.79,0.282,0.8,999.0
YER029C,YJR091C,0.53,0.235,0.355,
YER029C,YLR147C,0.839,0.282,1.0,999.0
YER029C,YLR220W,0.054,0.2,0.481,198.0
YER029C,YLR298C,0.564,0.235,0.685,999.0
YER029C,YLR438C-A,0.686,0.282,0.662,999.0
YER029C,YMR240C,0.591,0.282,0.662,999.0
YER029C,YNL187W,1.0,1.0,0.662,364.0
YER029C,YNR053C,0.027,0.1,0.662,183.0
YER029C,YPR182W,0.79,1.0,0.8,999.0
YER030W,YLR186W,0.09,0.093,0.506,194.0
YER031C,YER136W,0.081,0.05,0.425,999.0
YER031C,YGL161C,0.211,0.074,0.236,463.0
YER031C,YGL198W,0.211,0.074,1.0,621.0
YER031C,YGR172C,0.28,0.1,0.159,971.0
YER031C,YJL099W,0.598,0.1,0.236,532.0
YER031C,YKL002W,0.277,0.1,0.425,317.0
YER031C,YKR030W,0.598,0.1,0.814,236.0
YER031C,YNL146W,0.211,0.1,0.718,223.0
YER031C,YNL263C,0.598,0.1,1.0,622.0
YER031C,YOR036W,0.505,0.124,0.236,500.0
YER031C,YOR070C,0.019,0.05,0.603,838.0
YER031C,YPL192C,0.05,0.1,0.159,224.0
YER031C,YPR017C,0.304,0.08,0.429,834.0
YER032W,YER114C,0.121,0.28,0.737,537.0
YER032W,YER118C,0.08,0.189,0.419,
YER032W,YHR114W,0.048,0.477,0.396,229.0
YER032W,YHR152W,0.12,1.0,0.276,316.0
YER032W,YJL020C,0.095,0.283,0.168,229.0
YER032W,YJR110W,0.295,0.234,0.396,163.0
YER032W,YLR456W,0.14,0.145,0.276,198.0
YER032W,YMR032W,0.115,0.383,0.404,331.0
YER032W,YMR093W,0.306,0.255,0.297,167.0
YER032W,YNL161W,0.093,0.383,0.737,825.0
YER032W,YPR120C,0.056,0.323,0.276,346.0
YER033C,YKL129C,1.0,0.1,0.212,243.0
YER033C,YLR096W,0.13,0.383,0.229,190.0
YER033C,YLR191W,0.142,0.318,0.149,188.0
YER033C,YMR032W,0.18,0.383,0.404,188.0
YER033C,YMR109W,0.106,0.234,0.168,345.0
YER033C,YNL161W,0.149,0.383,0.737,696.0
YER036C,YGR206W,0.073,0.106,1.0,163.0
YER036C,YJR059W,0.127,0.477,0.425,353.0
YER036C,YJR091C,0.17,0.191,0.334,
YER036C,YNL020C,0.127,0.035,0.34,330.0
YER036C,YNL142W,0.157,0.035,0.234,167.0
YER036C,YPR036W,0.276,0.022,0.388,630.0
YER037W,YER052C,0.237,0.067,0.506,175.0
YER038C,YIR002C,0.963,0.318,0.399,490.0
YER038C,YML023C,1.0,1.0,0.399,999.0
YER040W,YER118C,0.138,0.122,0.305,277.0
YER040W,YGL181W,1.0,0.169,1.0,326.0
YER040W,YJR066W,0.505,0.154,0.74,964.0
YER040W,YKL203C,0.078,0.128,0.305,808.0
YER040W,YMR139W,0.116,0.066,0.506,330.0
YER040W,YNL189W,0.019,0.214,1.0,823.0
YER040W,YNL229C,0.118,0.166,0.506,999.0
YER041W,YER165W,0.059,0.066,0.506,
YER041W,YHL034C,0.193,0.105,1.0,
YER041W,YJL130C,0.385,0.096,0.506,160.0
YER041W,YJR121W,0.229,0.118,0.101,
YER041W,YKL152C,0.368,0.462,0.484,
YER041W,YKR081C,0.44,0.083,0.365,
YER041W,YLR449W,0.374,0.235,0.611,174.0
YER041W,YPR120C,0.142,0.105,1.0,645.0
YER043C,YER161C,0.188,0.096,0.506,
YER043C,YFL033C,0.253,0.16,0.506,
YER043C,YGL100W,0.109,0.158,0.506,
YER043C,YGL237C,0.14,0.158,0.374,
YER043C,YGR083C,0.196,0.073,0.672,
YER043C,YHR135C,0.253,0.096,0.425,
YER043C,YIR005W,0.266,0.096,1.0,
YER043C,YJL098W,0.515,0.283,0.599,
YER043C,YJL128C,0.253,0.041,0.396,
YER043C,YJL164C,0.515,0.132,0.506,
YER043C,YJR090C,0.261,0.284,0.506,
YER043C,YKL103C,0.252,0.077,0.599,
YER043C,YKL161C,0.402,0.096,0.314,
YER043C,YLR175W,0.213,0.235,0.673,189.0
YER043C,YLR291C,0.6,0.205,0.672,
YER043C,YLR309C,0.094,0.283,0.565,
YER043C,YLR442C,0.194,0.104,0.298,
YER043C,YML095C,0.195,0.241,0.366,
YER043C,YML115C,0.105,0.174,0.157,191.0
YER043C,YMR049C,0.213,0.158,0.331,
YER043C,YMR059W,0.221,0.196,0.234,
YER043C,YNL135C,0.336,0.235,0.599,
YER043C,YNL157W,0.123,0.158,1.0,
YER043C,YNL189W,0.091,0.126,0.506,
YER043C,YNL244C,0.235,0.126,0.672,
YER043C,YOR061W,0.157,0.16,0.295,
YER043C,YOR089C,0.109,0.261,0.38,
YER043C,YOR212W,0.19,0.158,0.429,
YER043C,YOR351C,0.253,0.16,0.506,
YER043C,YPL203W,0.402,0.096,0.506,
YER043C,YPR110C,0.094,0.096,0.295,529.0
YER044C,YKL002W,0.058,0.318,0.377,
YER044C,YPL051W,0.032,0.262,0.569,361.0
YER045C,YGL181W,1.0,0.098,1.0,200.0
YER045C,YGR123C,0.192,0.072,0.506,238.0
YER045C,YGR247W,0.247,0.072,0.57,163.0
YER045C,YMR308C,0.033,0.117,1.0,224.0
YER045C,YOR059C,0.153,0.146,0.554,161.0
YER047C,YER095W,0.131,0.191,0.325,450.0
YER047C,YER161C,0.279,0.243,0.506,454.0
YER047C,YGL181W,0.058,0.05,0.506,218.0
YER047C,YKL129C,0.21,1.0,0.379,248.0
YER047C,YKR034W,0.058,0.066,0.506,200.0
YER047C,YLR191W,0.089,0.118,0.151,325.0
YER047C,YMR032W,0.256,0.124,0.371,499.0
YER047C,YMR109W,0.383,0.033,0.396,241.0
YER047C,YPL126W,0.043,0.214,0.506,225.0
YER047C,YPL161C,0.041,0.05,1.0,202.0
YER048C,YPL205C,0.0,0.0,0.0,161.0
YER048C,YPR020W,0.107,0.209,0.385,164.0
YER049W,YFR004W,0.177,0.062,1.0,580.0
YER049W,YGL061C,0.116,0.136,0.445,381.0
YER049W,YGL137W,0.066,0.171,0.704,161.0
YER049W,YGR271W,0.459,0.107,0.506,333.0
YER049W,YPL141C,0.353,0.107,0.506,422.0
YER051W,YER081W,0.252,0.108,0.314,154.0
YER051W,YLR121C,0.296,0.39,0.189,161.0
YER051W,YMR310C,0.136,0.481,0.218,163.0
YER052C,YGL190C,0.143,0.09,0.388,610.0
YER052C,YIR014W,0.097,0.227,0.234,161.0
YER052C,YIR018W,0.182,0.133,0.307,163.0
YER052C,YKR079C,0.203,0.09,0.599,211.0
YER052C,YLR293C,0.028,0.275,1.0,
YER052C,YLR310C,0.067,0.133,0.425,229.0
YER052C,YMR139W,0.162,0.275,1.0,165.0
YER052C,YMR263W,0.069,0.066,0.506,163.0
YER052C,YNL135C,0.228,0.09,0.599,900.0
YER053C,YGL070C,0.036,0.043,0.74,
YER053C,YLR326W,0.125,0.193,0.173,205.0
YER054C,YER118C,0.161,0.103,0.292,329.0
YER054C,YER133W,0.262,0.214,0.259,993.0
YER054C,YER177W,0.161,0.113,0.604,215.0
YER054C,YGL134W,0.256,0.126,0.604,189.0
YER054C,YGR052W,0.298,0.113,0.503,308.0
YER054C,YJL164C,0.262,0.088,0.342,494.0
YER054C,YKL085W,0.364,0.214,0.503,287.0
YER054C,YKL166C,0.153,0.173,0.604,314.0
YER054C,YLR258W,0.18,0.276,0.604,999.0
YER054C,YML016C,0.119,0.112,0.342,938.0
YER054C,YPL203W,0.195,0.128,0.342,357.0
YER054C,YPR160W,0.768,0.112,0.604,803.0
YER054C,YPR184W,0.768,0.13,0.503,840.0
YER055C,YPR154W,0.054,0.283,0.314,
YER056C,YER120W,0.051,0.085,0.229,195.0
